region,herd,cow,study_lact,herd_size,mwp,parity,milk120,calv_dt,cf,fs,cc,wpc,spc,twin,dyst,rp,vag_disch,h7
1,1,1,1,294,26,5,3505.8,11nov1996,80,,,,6,no,no,no,no,1
1,1,2,1,294,26,5,3691.3,12jan1997,64,,,,3,no,no,no,no,1
1,1,3,1,294,26,5,4173,17jan1997,71,0,93,67,2,no,no,no,no,1
1,1,4,1,294,26,5,3727.3,11feb1997,35,1,35,9,1,no,no,no,no,1
1,1,5,1,294,26,5,3090.8,26jun1997,47,0,87,61,2,no,no,no,no,1
1,1,6,1,294,26,4,5041.2002,16oct1996,,,,,,no,no,yes,no,1
1,1,7,1,294,26,5,3861.2,22dec1996,46,,,,2,no,no,no,no,1
1,1,8,1,294,26,5,4228.3999,31dec1996,44,0,143,117,4,no,no,no,no,1
1,1,9,1,294,26,6,3431.1001,08aug1997,62,1,62,36,1,no,no,no,no,1
1,1,10,1,294,26,5,4445.5,18dec1996,,,,,,no,no,no,no,1
1,1,11,1,294,26,5,3984.7,05mar1997,45,1,45,19,1,no,no,yes,no,1
1,1,12,1,294,26,5,4064.7,26dec1996,73,0,116,90,2,no,no,no,no,1
1,1,13,1,294,26,5,4327.5,24oct1996,,,,,,no,no,no,no,1
1,1,14,1,294,26,5,3672.2,04apr1997,,,,,,no,no,no,no,1
1,1,15,1,294,26,4,4241.5,30jun1997,67,1,67,41,1,no,no,no,no,1
1,1,16,1,294,26,4,3939.5,09may1997,,,,,,no,no,yes,no,1
1,1,17,1,294,26,2,3416.6001,12sep1996,52,0,123,97,2,no,yes,no,no,1
1,1,17,2,294,26,3,3529.5,18oct1997,88,1,88,62,1,no,no,yes,no,1
1,1,18,1,294,26,5,4388.1001,27dec1996,,,,,,no,no,no,no,1
1,1,19,1,294,26,6,3870.3999,21jun1997,43,0,65,39,2,no,no,no,no,1
1,1,20,1,294,26,6,3468.3,26oct1996,,,,,,no,no,no,no,1
1,1,21,1,294,26,6,3732.8,06sep1997,,,,,,no,no,yes,no,1
1,1,22,1,294,26,7,4288.3999,13oct1997,66,,,,1,no,no,no,no,1
1,1,23,1,294,26,5,4111,12may1997,95,0,193,167,2,no,no,no,no,1
1,1,24,1,294,26,5,3689.8999,31oct1996,45,1,45,19,1,no,no,no,no,1
1,1,24,2,294,26,6,3337.1001,27sep1997,66,1,66,40,1,no,no,no,no,1
1,1,25,1,294,26,6,3737.3999,25oct1996,51,1,51,25,1,no,no,no,no,1
1,1,25,2,294,26,7,3296.2,17sep1997,,,,,,no,no,no,no,1
1,1,26,1,294,26,6,,02jul1997,,,,,,no,no,no,no,1
1,1,27,1,294,26,5,3249.3,08apr1997,,,,,,no,no,no,no,1
1,1,28,1,294,26,6,3350.3,02may1997,,,,,,no,no,no,no,1
1,1,29,1,294,26,3,3532.3999,23jul1997,56,0,80,54,3,no,no,no,no,1
1,1,30,1,294,26,3,,15jun1997,,,,,,no,no,no,no,1
1,1,31,1,294,26,5,3186.8,19dec1996,,,,,,no,no,no,no,1
1,1,32,1,294,26,3,3646.8,13jan1997,57,1,57,31,1,no,no,no,no,1
1,1,33,1,294,26,3,3119.1001,30apr1997,43,0,67,41,2,no,no,no,no,1
1,1,34,1,294,26,3,3715.5,30dec1996,90,,,,1,no,no,yes,no,1
1,1,35,1,294,26,6,3891.3999,30mar1997,,,,,,no,no,no,no,1
1,1,36,1,294,26,2,3254,01jun1997,61,,,,2,yes,no,no,no,1
1,1,37,1,294,26,2,3137.6001,08oct1996,45,1,45,19,1,no,no,no,no,1
1,1,37,2,294,26,3,3053.7,04sep1997,56,0,77,51,2,no,no,no,no,1
1,1,38,1,294,26,5,2697.1001,02apr1997,50,1,50,24,1,no,yes,no,no,1
1,1,39,1,294,26,3,3730.5,16jun1997,81,,,,3,no,no,no,yes,1
1,1,40,1,294,26,6,3447.3,17mar1997,46,0,108,82,4,no,no,no,no,1
1,1,41,1,294,26,6,3534.6001,25oct1997,,,,,,yes,no,no,no,1
1,1,42,1,294,26,6,3726.8,25apr1997,64,1,64,38,1,no,no,yes,no,1
1,1,43,1,294,26,6,3665.1001,27mar1997,,,,,,no,no,no,no,1
1,1,44,1,294,26,2,3711.7,13sep1996,84,0,125,99,2,yes,yes,no,no,1
1,1,44,2,294,26,3,3754.6001,30oct1997,68,1,68,42,1,no,no,no,no,1
1,1,45,1,294,26,6,,30jul1997,,,,,,no,no,no,no,1
1,1,46,1,294,26,5,3379,27mar1997,37,0,200,174,4,no,no,no,no,1
1,1,47,1,294,26,6,3376.5,28apr1997,102,0,122,96,2,no,no,no,no,1
1,1,48,1,294,26,6,3652.1001,14jun1997,,,,,,no,no,no,no,1
1,1,49,1,294,26,6,3804.8,16feb1997,,,,,,yes,no,yes,no,1
1,1,50,1,294,26,3,3399.5,04feb1997,54,0,74,48,2,no,no,no,no,1
1,1,51,1,294,26,3,3487.8,01mar1997,114,,,,1,no,no,no,yes,1
1,1,52,1,294,26,3,,20dec1996,,,,,,no,no,no,no,1
1,1,53,1,294,26,6,3321.2,15dec1996,,,,,,no,no,no,no,1
1,1,54,1,294,26,6,3536.2,08jul1997,53,,,,1,no,no,no,no,1
1,1,55,1,294,26,6,4534.6001,06apr1997,43,0,117,91,2,no,no,no,no,1
1,1,56,1,294,26,5,3466.7,10jun1997,102,0,165,139,2,no,no,no,no,1
1,1,57,1,294,26,5,4224,13jul1997,96,1,96,70,1,no,no,no,no,1
1,1,58,1,294,26,4,3987.3999,04jan1997,60,0,129,103,2,no,no,no,no,1
1,1,59,1,294,26,5,4598.2998,10jul1997,61,1,61,35,1,no,yes,no,no,1
1,1,60,1,294,26,4,,31oct1997,,,,,,no,no,no,no,1
1,1,61,1,294,26,4,3832.7,10apr1997,69,1,69,43,1,no,no,no,no,1
1,1,62,1,294,26,3,2799.8,12nov1997,78,1,78,52,1,no,no,no,no,1
1,1,63,1,294,26,5,3939,16aug1997,56,0,208,182,5,no,no,no,no,1
1,1,64,1,294,26,4,3789.3,06apr1997,41,1,41,15,1,no,no,no,no,1
1,1,65,1,294,26,4,,09jul1997,,,,,,no,no,no,no,1
1,1,66,1,294,26,4,3679.8999,16may1997,75,0,98,72,2,no,no,no,no,1
1,1,67,1,294,26,4,2502.1001,26jan1997,129,0,196,170,3,no,no,yes,yes,1
1,1,68,1,294,26,4,3831.3,09dec1996,,,,,,no,no,no,no,1
1,1,69,1,294,26,4,4189.3999,20nov1996,64,0,88,62,2,no,no,no,no,1
1,1,69,2,294,26,5,3387.3999,23nov1997,58,,,,3,no,no,no,no,1
1,1,70,1,294,26,4,3289.6001,12mar1997,102,0,169,143,3,no,no,yes,no,1
1,1,71,1,294,26,4,4331.5,07jan1997,49,1,49,23,1,no,no,no,no,1
1,1,72,1,294,26,3,3276.1001,11apr1997,46,,,,5,no,no,yes,no,1
